can_close_early,category,close_time,created_time,early_close_condition,event_ticker,expected_expiration_time,expiration_time,expiration_value,last_price,last_price_dollars,latest_expiration_time,liquidity,liquidity_dollars,market_type,no_ask,no_ask_dollars,no_bid,no_bid_dollars,no_sub_title,notional_value,notional_value_dollars,open_interest,open_time,previous_price,previous_price_dollars,previous_yes_ask,previous_yes_ask_dollars,previous_yes_bid,previous_yes_bid_dollars,price_level_structure,price_ranges,response_price_units,result,risk_limit_cents,rules_primary,rules_secondary,settlement_timer_seconds,status,subtitle,tick_size,ticker,title,volume,volume_24h,yes_ask,yes_ask_dollars,yes_bid,yes_bid_dollars,yes_sub_title,custom_strike,strike_type
True,,2026-12-31T15:00:00Z,2025-05-10T13:19:07.200043Z,This market will close and expire early if the event occurs.,KXCONGRESSTRADES-25,2026-05-15T15:00:00Z,2026-12-31T15:00:00Z,,2,0.0200,2026-12-31T15:00:00Z,263459,2634.5900,binary,99,0.9900,11,0.1100,Larry Bucshon,100,1.0000,5,2025-05-10T14:00:00Z,2,0.0200,90,0.9000,1,0.0100,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Larry Bucshon is the person in Congress that has the highest return on their assets in 2025, then the market resolves to Yes.",,1800,active,,1,KXCONGRESSTRADES-25-LBUC,Which member of Congress will have the biggest returns this year?,5,0,89,0.8900,1,0.0100,Larry Bucshon,{'Member': 'Larry Bucshon'},custom
True,,2026-12-31T15:00:00Z,2025-05-10T13:19:07.200043Z,This market will close and expire early if the event occurs.,KXCONGRESSTRADES-25,2026-05-15T15:00:00Z,2026-12-31T15:00:00Z,,13,0.1300,2026-12-31T15:00:00Z,173995,1739.9500,binary,98,0.9800,88,0.8800,Debbie Wasserman-Schultz,100,1.0000,51,2025-05-10T14:00:00Z,13,0.1300,12,0.1200,2,0.0200,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Debbie Wasserman-Schultz is the person in Congress that has the highest return on their assets in 2025, then the market resolves to Yes.",,1800,active,,1,KXCONGRESSTRADES-25-DWAS,Which member of Congress will have the biggest returns this year?,80,0,12,0.1200,2,0.0200,Debbie Wasserman-Schultz,{'Member': 'Debbie Wasserman-Schultz'},custom
True,,2026-12-31T15:00:00Z,2025-05-10T13:19:07.200043Z,This market will close and expire early if the event occurs.,KXCONGRESSTRADES-25,2026-05-15T15:00:00Z,2026-12-31T15:00:00Z,,70,0.7000,2026-12-31T15:00:00Z,189438,1894.3800,binary,97,0.9700,9,0.0900,David Rouzer,100,1.0000,419,2025-05-10T14:00:00Z,70,0.7000,92,0.9200,3,0.0300,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If David Rouzer is the person in Congress that has the highest return on their assets in 2025, then the market resolves to Yes.",,1800,active,,1,KXCONGRESSTRADES-25-DROU,Which member of Congress will have the biggest returns this year?,444,0,91,0.9100,3,0.0300,David Rouzer,{'Member': 'David Rouzer'},custom
True,,2027-11-03T15:00:00Z,2025-07-01T19:26:56.141819Z,This market will close following the swearing in of the Representative for the seat in question.,HOUSEMI3-26,2027-01-04T15:00:00Z,2027-11-03T15:00:00Z,,9,0.0900,2027-11-03T15:00:00Z,174020,1740.2000,binary,98,0.9800,91,0.9100,Republican party,100,1.0000,60,2025-07-01T21:00:00Z,9,0.0900,9,0.0900,2,0.0200,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If the House member sworn in for MI-3 for the term beginning in 2027 is a member of the Republican Party, then the market resolves to Yes.",,14,active,,1,HOUSEMI3-26-R,Will a Republican win the House race for MI-3?,60,0,9,0.0900,2,0.0200,Republican party,{'Party': 'Republican'},custom
True,,2027-11-03T15:00:00Z,2025-07-01T19:26:56.141819Z,This market will close following the swearing in of the Representative for the seat in question.,HOUSEMI3-26,2027-01-04T15:00:00Z,2027-11-03T15:00:00Z,,87,0.8700,2027-11-03T15:00:00Z,650523,6505.2300,binary,13,0.1300,6,0.0600,Democratic party,100,1.0000,1125,2025-07-01T21:00:00Z,87,0.8700,94,0.9400,87,0.8700,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If the House member sworn in for MI-3 for the term beginning in 2027 is a member of the Democratic Party, then the market resolves to Yes.",,14,active,:: Current incumbent: Hillary Scholten,1,HOUSEMI3-26-D,Will a Democrat win the House race for MI-3?,1266,0,94,0.9400,87,0.8700,Democratic party,{'Party': 'Democratic'},custom
True,,2026-11-03T15:00:00Z,2025-07-02T13:46:34.466287Z,This market will close after Shelley Moore Capito wins the party's nomination.,KXSENATEWVR-26,2026-05-12T14:00:00Z,2026-05-12T14:00:00Z,,88,0.8800,2026-05-12T14:00:00Z,260415,2604.1500,binary,17,0.1700,12,0.1200,Shelley Moore Capito,100,1.0000,227,2025-07-02T16:00:00Z,88,0.8800,88,0.8800,83,0.8300,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Shelley Moore Capito wins the nomination for the Republican Party to contest the 2026 Senate West Virginia Senate seat, then the market resolves to Yes.",,1800,active,,1,KXSENATEWVR-26-SMOO,Wil Shelley Moore Capito be the Republican nominee for the Senate in West Virginia?,274,0,88,0.8800,83,0.8300,Shelley Moore Capito,{'Candidate': 'Shelley Moore Capito'},custom
True,,2026-11-03T15:00:00Z,2025-07-02T13:46:34.466286Z,This market will close after Tom Willis wins the party's nomination.,KXSENATEWVR-26,2026-05-12T14:00:00Z,2026-05-12T14:00:00Z,,9,0.0900,2026-05-12T14:00:00Z,120449,1204.4900,binary,96,0.9600,91,0.9100,Tom Willis,100,1.0000,167,2025-07-02T16:00:00Z,9,0.0900,9,0.0900,4,0.0400,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Tom Willis wins the nomination for the Republican Party to contest the 2026 Senate West Virginia Senate seat, then the market resolves to Yes.",,1800,active,,1,KXSENATEWVR-26-TWIL,Wil Tom Willis be the Republican nominee for the Senate in West Virginia?,167,0,9,0.0900,4,0.0400,Tom Willis,{'Candidate': 'Tom Willis'},custom
True,,2026-11-03T15:00:00Z,2025-07-02T13:46:34.466286Z,This market will close after Alexander Gaasserud wins the party's nomination.,KXSENATEWVR-26,2026-05-12T14:00:00Z,2026-05-12T14:00:00Z,,8,0.0800,2026-05-12T14:00:00Z,126944,1269.4400,binary,98,0.9800,93,0.9300,Alexander Gaasserud,100,1.0000,100,2025-07-02T16:00:00Z,8,0.0800,7,0.0700,2,0.0200,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If Alexander Gaasserud wins the nomination for the Republican Party to contest the 2026 Senate West Virginia Senate seat, then the market resolves to Yes.",,1800,active,,1,KXSENATEWVR-26-AGAA,Wil Alexander Gaasserud be the Republican nominee for the Senate in West Virginia?,100,0,7,0.0700,2,0.0200,Alexander Gaasserud,{'Candidate': 'Alexander Gaasserud'},custom
True,,2027-11-03T15:00:00Z,2025-07-01T19:41:20.891857Z,This market will close following the swearing in of the Representative for the seat in question.,HOUSENM2-26,2027-01-04T15:00:00Z,2027-11-03T15:00:00Z,,24,0.2400,2027-11-03T15:00:00Z,308227,3082.2700,binary,83,0.8300,76,0.7600,Republican party,100,1.0000,1467,2025-07-01T21:00:00Z,24,0.2400,24,0.2400,17,0.1700,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If the House member sworn in for NM-2 for the term beginning in 2027 is a member of the Republican Party, then the market resolves to Yes.",,14,active,::,1,HOUSENM2-26-R,Will Republican win the House race for NM-2?,1493,0,24,0.2400,17,0.1700,Republican party,{'Party': 'Republican'},custom
True,,2027-11-03T15:00:00Z,2025-07-01T19:41:20.891856Z,This market will close following the swearing in of the Representative for the seat in question.,HOUSENM2-26,2027-01-04T15:00:00Z,2027-11-03T15:00:00Z,,79,0.7900,2027-11-03T15:00:00Z,283474,2834.7400,binary,26,0.2600,21,0.2100,Democratic party,100,1.0000,1257,2025-07-01T21:00:00Z,79,0.7900,79,0.7900,74,0.7400,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,0,"If the House member sworn in for NM-2 for the term beginning in 2027 is a member of the Democratic Party, then the market resolves to Yes.",,14,active,:: Current incumbent: Gabriel Vasquez,1,HOUSENM2-26-D,Will Democratic win the House race for NM-2?,1383,0,79,0.7900,74,0.7400,Democratic party,{'Party': 'Democratic'},custom
